task,track,config,n_train,n_test,n_features,mae,rmse,r2,train_positive_rate,test_positive_rate,pr_auc,f1,precision,recall,balanced_accuracy,roc_auc,fold
classify_proxy_anomaly_any_cv,rule_free,A3_time_weather_wavelet,5840,5840,40,,,,0.40273972602739727,0.0011986301369863014,0.0015427977373435675,0.0028469750889679717,0.001430615164520744,0.2857142857142857,0.5231931620582401,0.5758859689941466,1.0
classify_proxy_anomaly_any_cv,rule_free,A3_time_weather_wavelet,11680,5840,40,,,,0.20196917808219178,0.0010273972602739725,0.043199203954668405,0.0,0.0,0.0,0.5,0.820106273568735,2.0
classify_proxy_anomaly_any_cv,rule_free,A3_time_weather_wavelet,17520,5840,40,,,,0.13498858447488585,0.0006849315068493151,0.022529780392733522,0.0,0.0,0.0,0.5,0.7180003427004799,3.0
classify_proxy_anomaly_any_cv,rule_free,A3_time_weather_wavelet,23360,5840,40,,,,0.10141267123287671,0.002054794520547945,0.018663028934990725,0.0,0.0,0.0,0.49982841455044613,0.7189072866620911,4.0
classify_proxy_anomaly_any_cv,rule_free,A3_time_weather_wavelet,29200,5840,40,,,,0.08154109589041096,0.0011986301369863014,0.0031755639598011667,0.0,0.0,0.0,0.45268301045774045,0.7971639195709143,5.0
classify_proxy_anomaly_any,rule_free,A4_all_engineered,28032,7008,40,,,,0.08486729452054795,0.0012842465753424657,0.0031876042155681386,0.0,0.0,0.0,0.4608515502214602,0.7890809798225144,
classify_proxy_anomaly_any_cv,rule_free,A4_all_engineered,5840,5840,40,,,,0.40273972602739727,0.0011986301369863014,0.0015427977373435675,0.0028469750889679717,0.001430615164520744,0.2857142857142857,0.5231931620582401,0.5758859689941466,1.0
classify_proxy_anomaly_any_cv,rule_free,A4_all_engineered,11680,5840,40,,,,0.20196917808219178,0.0010273972602739725,0.043199203954668405,0.0,0.0,0.0,0.5,0.820106273568735,2.0
classify_proxy_anomaly_any_cv,rule_free,A4_all_engineered,17520,5840,40,,,,0.13498858447488585,0.0006849315068493151,0.022529780392733522,0.0,0.0,0.0,0.5,0.7180003427004799,3.0
classify_proxy_anomaly_any_cv,rule_free,A4_all_engineered,23360,5840,40,,,,0.10141267123287671,0.002054794520547945,0.018663028934990725,0.0,0.0,0.0,0.49982841455044613,0.7189072866620911,4.0
classify_proxy_anomaly_any_cv,rule_free,A4_all_engineered,29200,5840,40,,,,0.08154109589041096,0.0011986301369863014,0.0031755639598011667,0.0,0.0,0.0,0.45268301045774045,0.7971639195709143,5.0
